﻿﻿﻿﻿ID,OLT,Hora,F/S/P,ONT ID,MAC,CLIENTE,S/N,RX (dBm),TX (dBm),Status,Primária,Secundária,Porta Sec.,Descrição OLT,Mudanças
204087,98,2025-07-09 13:14:20.391767,0/3/7,22,04:33:89:3B:3A:93,,48575443B739F39D,-22.67,2.19,online,A1A311,A1A311-S6,P1,A1A311S6 P1,Não
210593,94,2025-07-09 13:27:13.604015,0/0/5,66,04:33:89:7F:F0:10,,48575443B68A329D,-16.38,2.18,online,1A22,1A22-S8,P11,1A22S8 P11,Não
211194,98,2025-07-09 13:28:12.083770,0/1/9,48,04:B0:E7:09:2B:28,,48575443ED089A5F,-22.75,2.22,online,A1A28,A1A28-S4,P3,A1A28S4 P3,Não
207184,91,2025-07-09 13:21:47.951900,0/1/4,4,08:4F:0A:46:9F:AB,,48575443053ABA93,-17.1,2.33,online,1A42,1A42-S4,P1,1A42S4 P1,Não
208439,97,2025-07-09 13:23:37.867730,0/0/6,13,08:4F:0A:C0:4D:4D,,485754432C89749F,-21.42,2.03,online,R2A57,R2A57-S1,P15,R2A57S1 P15,Não
5405,95,2025-06-06 15:56:39.008238,0/0/10,42,08:C0:21:32:C7:40,,4857544332C73F73,-20.04,2.17,online,A7F110,A7F110-S1,15,A7F110S1 P15,Não
197183,99,2025-07-09 13:03:05.323858,0/2/0,9,08:C0:21:8A:74:09,,485754432B603B9B,-21.67,2.21,online,2A17,2A17-S1,P1,2A17S1 P1,Não
207454,96,2025-07-09 13:22:08.655544,0/1/2,25,0C:41:E9:41:EA:DF,,48575443D316C89B,-22.07,2.13,online,C1A69,C1A69-S7,P4,C1A69S7 P4,Não
205305,99,2025-07-09 13:18:24.706080,0/0/3,19,0C:41:E9:55:7E:C5,,48575443D46EBF9B,-21.74,2.17,online,6A328,6A328-S4,P5,6A328S4 P5,Sim
199933,99,2025-07-09 13:07:54.474564,0/2/6,86,0C:41:E9:AE:2E:B9,,48575443DCAA5A9B,-19.91,2.33,online,1A330,1A330-S1,P14,1A330S1 P14,Não
199791,91,2025-07-09 13:07:43.506674,0/3/14,7,0C:41:E9:AE:88:4D,,485754431A42BD3C,-20.81,2.2,online,3A98,3A98-S7,P2,3A98S7 P2,Não
200656,99,2025-07-09 13:08:56.260835,0/2/11,24,0C:41:E9:EC:4C:8D,,48575443E33CCE9B,-18.5,2.05,online,1B439,1B439-S7,P12,1B439S7 P12,Não
210470,97,2025-07-09 13:27:00.755973,0/0/10,15,0C:C6:CC:AB:57:68,,48575443999C989B,-18.6,2.1,online,R1A31,R1A31-S5,P11,R1A31S5 P11,Não
204217,98,2025-07-09 13:14:37.028147,0/3/8,33,0C:C6:CC:CD:7D:7B,,485754439CFFB79B,-23.28,2.33,online,A1A312,A1A312-S5,P10,A1A312S5 P10,Não
197441,97,2025-07-09 13:03:30.830359,0/1/1,4,10:C1:72:E1:37:AC,,48575443AE4FF59C,-16.29,2.22,online,R1A26,R1A26-S4,P2,R1A26S4 P2,Não
204474,94,2025-07-09 13:15:14.571526,0/0/12,0,10:C3:AB:F8:AA:23,,48575443098C67A4,-23.1,2.13,online,23725,,,23725,Não
203949,94,2025-07-09 13:14:03.586080,0/0/11,11,14:09:DC:09:C2:4B,,4857544309C24A9C,-21.02,2.27,online,N1A33,N1A33-S2,P1,N1A33S2 P1,Não
205626,99,2025-07-09 13:19:01.838103,0/0/3,45,14:09:DC:7D:73:DF,,485754437D73DE9C,-23.76,1.91,online,6A328,6A328-S5,P12,6A328S5 P12,Não
202409,91,2025-07-09 13:11:31.709647,0/5/6,14,14:30:04:61:8C:84,,485754431A5DE23C,-19.91,2.05,online,3A99,3A99-S8,P3,3A99S8 P3,Não
208099,95,2025-07-09 13:23:06.248165,0/0/4,9,14:30:04:8F:49:A3,,485754438828919A,-19.1,1.91,online,A6D25,A6D25-S1,P4,A6D25S1 P4,Não
197196,99,2025-07-09 13:03:06.501650,0/1/12,89,18:7C:AA:7F:59:F0,,48575443AA7F59ED,-23.28,2.18,online,3A224,3A224-S4,P8,3A224S4 P8,Não
207959,99,2025-07-09 13:22:52.565401,0/1/0,12,18:7C:AA:7F:5F:EA,,48575443AA7F5FE7,-22.67,2.25,online,6A438,6A438-S7,P16,6A438S7 P16,Não
204228,98,2025-07-09 13:14:38.239370,0/3/9,21,18:7C:AA:7F:60:FA,,48575443AA7F60F7,-27.69,2.32,online,A1A39,A1A39-S1,P7,A1A39S1 P7,Não
198029,97,2025-07-09 13:04:36.777321,0/1/0,67,18:7C:AA:7F:61:4F,,48575443AA7F614C,-18.12,2.17,online,1a25,1a25-S1,P6,1a25s1 P6,Não
209499,91,2025-07-09 13:25:22.813106,0/1/12,19,18:7C:AA:7F:62:92,,48575443AA7F628F,-19.46,2.21,online,3A92,3A92-S3,P4,3A92S3 P4,Não
210589,98,2025-07-09 13:27:13.314317,0/1/8,74,18:7C:AA:7F:66:D2,,48575443AA7F66CF,-24.68,2.29,online,1A2258A,,P2,1A2258A  P2,Não
201160,98,2025-07-09 13:09:43.173076,0/1/14,47,18:7C:AA:7F:68:37,,48575443AA7F6834,-23.28,2.26,online,1A211,1A211-S3,P2,1A211S3 P2,Não
204921,96,2025-07-09 13:17:19.519725,0/0/11,14,18:7C:AA:7F:6D:65,,48575443AA7F6D62,-22.67,2.3,online,C1A811,C1A811-S1,P12,C1A811S1 P12,Não
196864,99,2025-07-09 13:02:34.480100,0/1/15,8,18:7C:AA:7F:6E:75,,48575443AA7F6E72,-17.05,2.32,online,2A13,2A13-S7,P5,2A13S7 P5,Não
203877,98,2025-07-09 13:13:55.527919,0/3/8,6,18:7C:AA:7F:6E:86,,48575443AA7F6E83,-24.09,2.22,online,A1A312,A1A312-S5,P1,A1A312S5 P1,Não
203648,98,2025-07-09 13:13:32.149149,0/3/1,26,18:7C:AA:7F:80:C9,,48575443AA7F80C6,-20.86,2.19,online,1A31,1A31-S3,P4,1A31S3 P4,Não
206625,98,2025-07-09 13:20:59.586100,0/0/1,1,18:7C:AA:7F:83:E8,,48575443AA7F83E5,-25.68,2.19,online,A1A11,A1A11-S7-A,P3,A1A11S7-A P3,Não
209104,98,2025-07-09 13:24:47.919177,0/0/15,64,18:DE:D7:0D:C4:6E,,485754430DC46D8A,-25.85,1.94,online,A1A29,A1A29-S5,P7,A1A29S5 P7,Não
209803,98,2025-07-09 13:25:49.835002,0/1/8,22,18:DE:D7:99:F0:D9,,4857544399F0D88A,-24.2,1.99,online,A1A22,A1A22-S7,P15,A1A22S7 P15,Não
209713,99,2025-07-09 13:25:42.737151,0/1/1,87,1C:20:DB:BA:4E:0C,,485754437F57C49F,-18.32,2.09,online,3A17,3A17-S7,P11,3A17S7 P11,Não
207954,97,2025-07-09 13:22:52.352839,0/0/0,89,1C:20:DB:BA:5D:B1,,485754437F59819F,-17.72,2.2,online,R2A51,R2A51-S7,P16,R2A51S7 P16,Não
207725,98,2025-07-09 13:22:33.314191,0/0/9,29,20:28:3E:89:95:7C,,48575443FEE5DD9D,-22.75,2.29,online,A1A52,A1A52-S6-A,P4,A1A52S6-A P4,Não
200058,98,2025-07-09 13:08:05.416308,0/1/11,21,20:3D:B2:D0:9A:07,,48575443D09A0681,-25.37,2.02,online,A1A23,A1A23-S6,P8,A1A23S6 P8,Não
203175,97,2025-07-09 13:12:41.815151,0/1/15,20,24:16:6D:D2:EE:17,,4857544321C04F9E,-18.18,1.97,online,2A712,2A712-S6,P12,2A712S6 P12,Não
208826,98,2025-07-09 13:24:16.735072,0/0/15,43,28:41:C6:68:46:C4,,485754433F8EFB9E,-24.56,2.44,online,A1A29,A1A29-S5,P8,A1A29S5 P8,Não
196113,97,2025-07-09 13:01:22.008994,0/0/12,81,28:41:C6:68:49:0D,,485754433F8F289E,-16.65,2.16,online,R1A21,R1A21-S1,P2,R1A21S1 P2,Não
196805,97,2025-07-09 13:02:28.111435,0/0/12,125,28:DE:E5:12:8D:A1,,48575443B42F46A3,-17.72,2.25,online,1A21S8 Pt 7,,,1A21S8 Pt 7,Não
199822,91,2025-07-09 13:07:46.501850,0/3/12,15,28:DE:E5:12:90:F3,,48575443B42F78A3,-18.09,2.2,online,3A94,3A94-S4,P10,3A94S4 P10,Não
206502,97,2025-07-09 13:20:48.782333,0/0/1,21,2C:9D:1E:80:18:DD,,485754438018DC7F,-17.67,2.28,online,,,,ONT_NO_DESCRIPTION,Não
208488,95,2025-07-09 13:23:42.070785,0/0/11,1,2C:9D:1E:CC:CE:DC,,48575443CCCEDB7F,-17.67,2.0,online,A7F67,A7F67-S6,P2,A7F67S6 P2,Não
209765,97,2025-07-09 13:25:46.802913,0/0/5,87,30:FD:65:3A:C7:B8,,4857544351737FA2,-19.13,2.3,online,2A56,2A56-S5,P7,2A56S5 P7,Não
209342,99,2025-07-09 13:25:07.664115,0/1/1,61,34:6A:C2:3A:CA:E0,,485754433ACADF7B,-18.82,2.2,online,3A17,3A17-S5,P11,3A17S5 P11,Não
205441,99,2025-07-09 13:18:42.202543,0/0/3,31,34:6A:C2:4B:E5:5D,,485754434BE55C9F,-23.56,2.01,online,6A328,6A328-S6-A,P1,6A328S6-A P1,Não
208437,95,2025-07-09 13:23:37.770138,0/0/9,15,34:6A:C2:85:A8:DC,,485754432ABCED9D,-25.85,2.42,online,A7F25,A7F25-S6,P11,A7F25S6 P11,Não
202553,91,2025-07-09 13:11:43.768007,0/5/11,10,34:A2:A2:AC:8C:C5,,48575443FEA9F09D,-23.46,2.19,online,4A115,4A115-S1,P6,4A115S1 P6,Não
193634,97,2025-07-09 12:57:53.871154,0/0/8,77,38:BC:01:59:C9:C9,,48575443BAF1CA3C,-18.29,2.23,online,R1A37,R1A37-S2,P8,R1A37S2 P8,Não
210118,98,2025-07-09 13:26:21.859916,0/1/7,49,38:BC:01:8F:7A:45,,485754438F7A449A,-24.68,2.15,online,A1A26,A1A26-S2,P5,A1A26S2 P5,Não
210269,97,2025-07-09 13:26:37.968805,0/0/9,11,38:BC:01:A6:77:24,,48575443A677239A,-16.67,2.21,online,R1A38,R1A38-S5,P2,R1A38S5 P2,Não
204174,98,2025-07-09 13:14:31.625765,0/3/9,17,38:BC:01:D6:D7:53,,48575443D6D7529A,-23.98,2.34,online,A1A39,A1A39-S6,P10,A1A39S6 P10,Não
201741,98,2025-07-09 13:10:35.157821,0/1/14,89,38:BC:01:F6:AE:76,,48575443F6AE759A,-22.75,2.0,online,A1A211,A1A211-S2,P15,A1A211S2 P15,Não
209169,95,2025-07-09 13:24:53.899300,0/1/6,1,38:EB:47:E0:43:89,,48575443DB530EA3,-17.28,2.23,online,AF73,AF73-S2,P16,AF73S2 P16,Não
209600,97,2025-07-09 13:25:32.409356,0/0/6,80,3C:15:FB:10:83:18,,4857544392695B9C,-19.74,1.99,online,R2A57,R2A57-S3,P5,R2A57S3 P5,Não
195766,99,2025-07-09 13:00:52.387829,0/1/10,28,3C:15:FB:13:4D:E4,,4857544392A0579C,-19.54,2.36,online,1C888,1C888-S4,P7,1C888S4 P7,Não
197174,97,2025-07-09 13:03:04.497750,0/0/15,42,3C:15:FB:9A:B8:A9,,485754439D0C3E9C,-18.89,2.3,online,1A24,1A24-S7,P12,1A24S7 P12,Não
209424,89,2025-07-09 13:25:15.016800,0/1/4,0,40:EE:DD:38:80:A8,,48575443404BC69D,-20.13,2.19,online,1A17,1A17-S2,P1,1A17S2 P1,Não
206904,99,2025-07-09 13:21:24.462825,0/0/5,26,40:EE:DD:44:DE:2B,,48575443413CDF9D,-20.81,2.17,online,1A11,1A11-S6,P5,1A11S6 P5,Não
203424,96,2025-07-09 13:13:08.076462,0/0/1,86,40:EE:DD:8F:8D:D5,,485754434660C29D,-21.87,2.1,online,1A56,1A56-S6,P6,1A56S6 P6,Não
207904,91,2025-07-09 13:22:47.281074,0/1/7,14,40:EE:DD:CA:F8:51,,4857544349DD3F9D,-16.36,2.18,online,4A1110,4A1110-S3,P3,4A1110S3 P3,Não
207180,99,2025-07-09 13:21:47.893744,0/0/7,22,40:EE:DD:EA:EA:6A,,485754434DD2469D,-25.37,2.01,online,3A222,3A222-S2,P14,3A222S2 P14,Não
208052,95,2025-07-09 13:23:01.393106,0/0/5,6,40:EE:DD:EF:00:9C,,485754434E22C09D,-20.75,2.01,online,7F11,7F11-S8,P7,7F11S8 P7,Não
209624,91,2025-07-09 13:25:34.655533,0/1/15,14,48:43:5A:5B:A8:37,,485754432B43449B,-18.5,2.33,online,2A66,2A66-S4,P4,2A66S4 P4,Não
209428,98,2025-07-09 13:25:15.628025,0/1/7,11,48:43:5A:5E:A0:75,,48575443ACA6F73B,-23.87,2.3,online,A1A26,A1A26-S5,P5,A1A26S5 P5,Não
209064,99,2025-07-09 13:24:43.014693,0/1/2,19,48:43:5A:CC:58:4F,,4857544364EE683C,-19.62,2.28,online,1A325,1A325-S2,P5,1A325S2 P5,Não
201744,99,2025-07-09 13:10:35.663574,0/2/15,25,48:43:5A:F1:26:E2,,485754438D3C032F,-15.98,1.95,online,1A42,1A42-S8,P3,1A42S8 P3,Não
209285,94,2025-07-09 13:25:02.897933,0/0/2,77,48:8E:EF:E8:9D:77,,4857544366CD979B,-19.35,2.07,online,1A19,1A19-S7,P9,1A19S7 P9,Não
210744,98,2025-07-09 13:27:28.868005,0/1/10,9,48:D5:39:A7:61:61,,48575443A7616082,-23.98,1.92,online,A1A27,A1A27-S6,P13,A1A27S6 P13,Não
210483,95,2025-07-09 13:27:02.296314,0/2/8,3,48:F8:DB:EA:B0:8D,,4857544350620C9A,-22.59,2.14,online,A7F51,A7F51-S7,P1,A7F51S7 P1,Não
207675,95,2025-07-09 13:22:29.729556,0/0/2,0,48:FD:8E:56:4D:A6,,48575443032A693A,-18.96,2.26,online,A6D23,A6D23-S4-B,P9,A6D23S4-B P9,Não
194554,97,2025-07-09 12:59:12.345184,0/0/9,116,4C:F9:5D:0C:37:35,,485754430C373486,-16.9,2.3,online,R1A38,R1A38-S6,P3,R1A38S6 P3,Não
11826,95,2025-06-17 14:21:20.639520,0/0/2,8,4C:F9:5D:C0:E5:47,,48575443C0E54686,-18.79,2.33,online,A6D23,A6D23-S5,P5,A6D23S5 P5,Não
211296,99,2025-07-09 13:28:21.134094,0/1/7,8,50:1D:93:9F:4F:B4,,485754437C95F29C,-26.77,1.9,online,Cx1C885s1 pt6,,,Cx1C885s1 pt6,Não
209736,95,2025-07-09 13:25:44.952025,0/1/12,3,50:1D:93:C1:FD:DF,,485754437F31C99C,-22.07,2.09,online,A7F65,A7F65-S8,P5,A7F65S8 P5,Não
197555,99,2025-07-09 13:03:40.429872,0/2/0,31,50:5D:AC:23:28:53,,485754435B798A9C,-21.8,1.94,online,2A17,2A17-S8,P2,2A17S8 P2,Não
196515,99,2025-07-09 13:02:00.063279,0/1/12,50,50:5D:AC:38:9A:C1,,485754435D039F9C,-18.32,2.2,online,3A224,3A224-S4,P4,3A224S4 P4,Não
