OLT,Slot,Placa (Board),Status,Função Resumida
OLT-93_CARMO,0,H805GPFD,Normal,Serviço GPON: Placa com 16 portas para clientes.
,1,H807GPBD,Normal,Serviço GPON: Placa com 8 portas para clientes.
,6,H802SCUN,Active_normal,"Controle (Principal): Gerencia a OLT, em modo ativo."
,7,H802SCUN,Standby_normal,"Controle (Backup): Gerencia a OLT, em modo de espera."
,8,H802X2CS,Normal,Uplink 10GE: Conexão de alta capacidade com a rede.
,9,H801GICF,Normal,Uplink 1GE: Conexão padrão com a rede.
Ceres-OLT_96,0,H805GPFD,Normal,Serviço GPON: Placa com 16 portas para clientes.
,1,H807GPBD,Normal,Serviço GPON: Placa com 8 portas para clientes.
,2,H805GPFD,Normal,Serviço GPON: Placa com 16 portas para clientes.
,6,H802SCUN,Standby_normal,"Controle (Backup): Gerencia a OLT, em modo de espera."
,7,H802SCUN,Active_normal,"Controle (Principal): Gerencia a OLT, em modo ativo."
,8,H801X2CS,Normal,Uplink 10GE: Conexão de alta capacidade com a rede.
,9,H801GICF,Normal,Uplink 1GE: Conexão padrão com a rede.
Goiania-OLT_98,0,H805GPFD,Normal,Serviço GPON: Placa com 16 portas para clientes.
,1,H805GPFD,Normal,Serviço GPON: Placa com 16 portas para clientes.
,2,H805GPFD,Normal,Serviço GPON: Placa com 16 portas para clientes.
,3,H805GPFD,Normal,Serviço GPON: Placa com 16 portas para clientes.
,6,H802SCUN,Active_normal,"Controle (Principal): Gerencia a OLT, em modo ativo."
,7,H802SCUN,Standby_normal,"Controle (Backup): Gerencia a OLT, em modo de espera."
,8,H801X2CS,Normal,Uplink 10GE: Conexão de alta capacidade com a rede.
,9,H801GICF,Normal,Uplink 1GE: Conexão padrão com a rede.
Jaragua-OLT_99,0,H807GPBD,Normal,Serviço GPON: Placa com 8 portas para clientes.
,1,H805GPFD,Normal,Serviço GPON: Placa com 16 portas para clientes.
,2,H805GPFD,Normal,Serviço GPON: Placa com 16 portas para clientes.
,3,H805GPFD,Normal,Serviço GPON: Placa com 16 portas para clientes.
,6,H802SCUN,Active_normal,"Controle (Principal): Gerencia a OLT, em modo ativo."
,7,H802SCUN,Standby_normal,"Controle (Backup): Gerencia a OLT, em modo de espera."
,8,H801X2CS,Normal,Uplink 10GE: Conexão de alta capacidade com a rede.
,9,H801GICF,Normal,Uplink 1GE: Conexão padrão com a rede.
OLT-88_JARAGUA-XGPON,1,H901CGID,Normal,Uplink GE/FE: Placa com 8 portas de uplink.
,6,H901GPLF,Normal,Serviço GPON: Placa com 16 portas para clientes.
,7,H907CGHF,Normal,Serviço Combo XG-PON/GPON: Placa com 16 portas para clientes.
,8,H901MPLA,Standby_failed,"Controle (Backup): Placa em modo de espera, porém com falha. ⚠️"
